2019-11-13 14:28:06 startup archives unpack
2019-11-13 14:28:06 install libcap2:amd64 <none> 1:2.25-1
2019-11-13 14:28:06 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2019-11-13 14:28:06 status half-installed libcap2:amd64 1:2.25-1
2019-11-13 14:28:06 status unpacked libcap2:amd64 1:2.25-1
2019-11-13 14:28:06 status unpacked libcap2:amd64 1:2.25-1
2019-11-13 14:28:06 install iputils-ping:amd64 <none> 3:20161105-1
2019-11-13 14:28:06 status half-installed iputils-ping:amd64 3:20161105-1
2019-11-13 14:28:06 status unpacked iputils-ping:amd64 3:20161105-1
2019-11-13 14:28:06 status unpacked iputils-ping:amd64 3:20161105-1
2019-11-13 14:28:07 install libcap2-bin:amd64 <none> 1:2.25-1
2019-11-13 14:28:07 status half-installed libcap2-bin:amd64 1:2.25-1
2019-11-13 14:28:07 status unpacked libcap2-bin:amd64 1:2.25-1
2019-11-13 14:28:07 status unpacked libcap2-bin:amd64 1:2.25-1
2019-11-13 14:28:07 install libpam-cap:amd64 <none> 1:2.25-1
2019-11-13 14:28:07 status half-installed libpam-cap:amd64 1:2.25-1
2019-11-13 14:28:07 status unpacked libpam-cap:amd64 1:2.25-1
2019-11-13 14:28:07 status unpacked libpam-cap:amd64 1:2.25-1
2019-11-13 14:28:07 startup packages configure
2019-11-13 14:28:07 configure libcap2:amd64 1:2.25-1 <none>
2019-11-13 14:28:07 status unpacked libcap2:amd64 1:2.25-1
2019-11-13 14:28:07 status half-configured libcap2:amd64 1:2.25-1
2019-11-13 14:28:07 status installed libcap2:amd64 1:2.25-1
2019-11-13 14:28:07 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2019-11-13 14:28:07 status half-configured libc-bin:amd64 2.24-11+deb9u3
2019-11-13 14:28:07 status installed libc-bin:amd64 2.24-11+deb9u3
2019-11-13 14:28:07 configure iputils-ping:amd64 3:20161105-1 <none>
2019-11-13 14:28:07 status unpacked iputils-ping:amd64 3:20161105-1
2019-11-13 14:28:07 status half-configured iputils-ping:amd64 3:20161105-1
2019-11-13 14:28:07 status installed iputils-ping:amd64 3:20161105-1
2019-11-13 14:28:07 configure libpam-cap:amd64 1:2.25-1 <none>
2019-11-13 14:28:07 status unpacked libpam-cap:amd64 1:2.25-1
2019-11-13 14:28:07 status unpacked libpam-cap:amd64 1:2.25-1
2019-11-13 14:28:07 status half-configured libpam-cap:amd64 1:2.25-1
2019-11-13 14:28:07 status installed libpam-cap:amd64 1:2.25-1
2019-11-13 14:28:07 configure libcap2-bin:amd64 1:2.25-1 <none>
2019-11-13 14:28:07 status unpacked libcap2-bin:amd64 1:2.25-1
2019-11-13 14:28:07 status half-configured libcap2-bin:amd64 1:2.25-1
2019-11-13 14:28:07 status installed libcap2-bin:amd64 1:2.25-1
2019-11-26 10:27:51 startup archives unpack
2019-11-26 10:27:51 install nano:amd64 <none> 2.7.4-1
2019-11-26 10:27:51 status half-installed nano:amd64 2.7.4-1
2019-11-26 10:27:51 status unpacked nano:amd64 2.7.4-1
2019-11-26 10:27:51 status unpacked nano:amd64 2.7.4-1
2019-11-26 10:27:51 startup packages configure
2019-11-26 10:27:51 configure nano:amd64 2.7.4-1 <none>
2019-11-26 10:27:51 status unpacked nano:amd64 2.7.4-1
2019-11-26 10:27:51 status unpacked nano:amd64 2.7.4-1
2019-11-26 10:27:51 status half-configured nano:amd64 2.7.4-1
2019-11-26 10:27:51 status installed nano:amd64 2.7.4-1
2020-01-21 02:00:03 startup archives unpack
2020-01-21 02:00:03 install libcap2:amd64 <none> 1:2.25-1
2020-01-21 02:00:03 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2020-01-21 02:00:03 status half-installed libcap2:amd64 1:2.25-1
2020-01-21 02:00:03 status unpacked libcap2:amd64 1:2.25-1
2020-01-21 02:00:03 status unpacked libcap2:amd64 1:2.25-1
2020-01-21 02:00:03 install iputils-ping:amd64 <none> 3:20161105-1
2020-01-21 02:00:03 status half-installed iputils-ping:amd64 3:20161105-1
2020-01-21 02:00:03 status unpacked iputils-ping:amd64 3:20161105-1
2020-01-21 02:00:03 status unpacked iputils-ping:amd64 3:20161105-1
2020-01-21 02:00:03 install libcap2-bin:amd64 <none> 1:2.25-1
2020-01-21 02:00:03 status half-installed libcap2-bin:amd64 1:2.25-1
2020-01-21 02:00:03 status unpacked libcap2-bin:amd64 1:2.25-1
2020-01-21 02:00:03 status unpacked libcap2-bin:amd64 1:2.25-1
2020-01-21 02:00:03 install libpam-cap:amd64 <none> 1:2.25-1
2020-01-21 02:00:03 status half-installed libpam-cap:amd64 1:2.25-1
2020-01-21 02:00:03 status unpacked libpam-cap:amd64 1:2.25-1
2020-01-21 02:00:03 status unpacked libpam-cap:amd64 1:2.25-1
2020-01-21 02:00:03 startup packages configure
2020-01-21 02:00:03 configure libcap2:amd64 1:2.25-1 <none>
2020-01-21 02:00:03 status unpacked libcap2:amd64 1:2.25-1
2020-01-21 02:00:03 status half-configured libcap2:amd64 1:2.25-1
2020-01-21 02:00:03 status installed libcap2:amd64 1:2.25-1
2020-01-21 02:00:03 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2020-01-21 02:00:03 status half-configured libc-bin:amd64 2.24-11+deb9u3
2020-01-21 02:00:03 status installed libc-bin:amd64 2.24-11+deb9u3
2020-01-21 02:00:03 configure iputils-ping:amd64 3:20161105-1 <none>
2020-01-21 02:00:03 status unpacked iputils-ping:amd64 3:20161105-1
2020-01-21 02:00:03 status half-configured iputils-ping:amd64 3:20161105-1
2020-01-21 02:00:03 status installed iputils-ping:amd64 3:20161105-1
2020-01-21 02:00:03 configure libpam-cap:amd64 1:2.25-1 <none>
2020-01-21 02:00:03 status unpacked libpam-cap:amd64 1:2.25-1
2020-01-21 02:00:03 status unpacked libpam-cap:amd64 1:2.25-1
2020-01-21 02:00:03 status half-configured libpam-cap:amd64 1:2.25-1
2020-01-21 02:00:04 status installed libpam-cap:amd64 1:2.25-1
2020-01-21 02:00:04 configure libcap2-bin:amd64 1:2.25-1 <none>
2020-01-21 02:00:04 status unpacked libcap2-bin:amd64 1:2.25-1
2020-01-21 02:00:04 status half-configured libcap2-bin:amd64 1:2.25-1
2020-01-21 02:00:04 status installed libcap2-bin:amd64 1:2.25-1
